Nodo1,Nodo2,Datos
1,186,{'latencia': 75.96841344434121}
1,1241,{'latencia': 84.29086202118305}
1,370,{'latencia': 25.839717755808543}
1,584,{'latencia': 7.703565912419581}
1,515,{'latencia': 29.05044443604844}
1,1488,{'latencia': 85.54483834774949}
1,1218,{'latencia': 21.266638773091362}
1,763,{'latencia': 50.321578187372005}
1,1457,{'latencia': 55.42898378123359}
1,469,{'latencia': 79.27310850227575}
1,339,{'latencia': 37.21626960555613}
1,454,{'latencia': 92.06626891613445}
1,975,{'latencia': 67.17450039130304}
1,367,{'latencia': 80.54933504607129}
1,163,{'latencia': 74.55642607628168}
1,126,{'latencia': 46.8219075846297}
1,1071,{'latencia': 23.546820319209512}
1,139,{'latencia': 59.87127934379581}
1,274,{'latencia': 4.041207798557117}
1,799,{'latencia': 36.72064478611777}
1,1145,{'latencia': 79.60387891620826}
1,97,{'latencia': 36.374221042952605}
1,523,{'latencia': 67.9306511858588}
1,432,{'latencia': 86.72621021176442}
1,880,{'latencia': 87.10525645113597}
1,1229,{'latencia': 98.78840756074003}
1,132,{'latencia': 91.39305413238405}
1,429,{'latencia': 40.40338164560575}
1,333,{'latencia': 2.4929395305486017}
1,36,{'latencia': 96.65886855493135}
1,1074,{'latencia': 63.73387709417261}
1,324,{'latencia': 80.1116192358812}
1,236,{'latencia': 94.29203777853628}
1,347,{'latencia': 44.744862726724776}
1,1142,{'latencia': 94.6573508110931}
1,1128,{'latencia': 80.97836243785969}
1,76,{'latencia': 13.510106817599683}
1,928,{'latencia': 50.185005071267376}
1,490,{'latencia': 64.56864187011296}
1,1247,{'latencia': 16.64324239166553}
1,1068,{'latencia': 67.69474575823804}
1,444,{'latencia': 21.512202955942346}
1,178,{'latencia': 89.81436390253683}
1,568,{'latencia': 81.28367898106482}
1,560,{'latencia': 44.713452146654035}
1,1086,{'latencia': 50.71021841843354}
1,628,{'latencia': 63.0350000806064}
1,981,{'latencia': 10.866275981063673}
1,555,{'latencia': 30.280821643823625}
1,760,{'latencia': 98.72626474586231}
1,176,{'latencia': 55.624045929367334}
1,1460,{'latencia': 42.49092570665794}
1,297,{'latencia': 96.87684830778551}
1,169,{'latencia': 23.333213473160946}
1,1031,{'latencia': 3.485536346888834}
1,891,{'latencia': 57.53166375212015}
1,1276,{'latencia': 53.61695227867134}
1,159,{'latencia': 52.84328033538678}
1,882,{'latencia': 48.75866911944778}
1,1334,{'latencia': 3.3394910367151542}
1,102,{'latencia': 95.99438995766869}
1,700,{'latencia': 83.35893672951154}
1,482,{'latencia': 24.99346095023043}
1,323,{'latencia': 40.93094844463661}
1,465,{'latencia': 49.189585529919206}
1,505,{'latencia': 15.210839824609442}
2,60,{'latencia': 43.775146847638446}
2,1352,{'latencia': 3.140622401234722}
2,802,{'latencia': 33.26070363868264}
2,688,{'latencia': 87.10440316542905}
2,1179,{'latencia': 43.56101788511149}
2,1289,{'latencia': 74.11138158591487}
2,1082,{'latencia': 75.43800905017957}
2,769,{'latencia': 51.26008619143128}
2,713,{'latencia': 40.808632014859676}
2,230,{'latencia': 31.534973103774437}
2,683,{'latencia': 77.83708809926118}
2,880,{'latencia': 95.19729884556446}
2,345,{'latencia': 1.1167912247286402}
2,180,{'latencia': 84.72556757415177}
2,512,{'latencia': 72.25459751535342}
2,978,{'latencia': 42.83057390489321}
2,1351,{'latencia': 66.22473027771514}
2,1307,{'latencia': 67.49873954032141}
2,532,{'latencia': 28.050960779504166}
2,107,{'latencia': 92.37680530369082}
2,356,{'latencia': 92.90121797912416}
2,22,{'latencia': 67.9894023516374}
2,343,{'latencia': 7.372469619169758}
2,1354,{'latencia': 31.379552075989295}
2,434,{'latencia': 42.805293621394206}
2,832,{'latencia': 49.539960737205185}
2,855,{'latencia': 69.39007678850044}
2,996,{'latencia': 88.65794082144453}
2,1392,{'latencia': 3.63317301479842}
2,259,{'latencia': 98.02487073836706}
2,1077,{'latencia': 35.287046989818556}
2,394,{'latencia': 86.27804108283111}
2,308,{'latencia': 11.465681766072642}
2,654,{'latencia': 22.40038365741408}
2,1445,{'latencia': 36.25484278755277}
2,1162,{'latencia': 12.518231671709577}
2,1068,{'latencia': 79.79176811300721}
2,853,{'latencia': 35.350985336333146}
2,1231,{'latencia': 11.175590361250064}
2,1106,{'latencia': 39.94838607225567}
2,1483,{'latencia': 86.48414631379448}
2,909,{'latencia': 63.11032364631288}
2,601,{'latencia': 97.13212561073846}
2,251,{'latencia': 7.580721267852455}
2,167,{'latencia': 54.57852443957463}
2,1091,{'latencia': 71.79026730625681}
2,1280,{'latencia': 15.372439446954601}
2,1151,{'latencia': 29.782158606541355}
2,1325,{'latencia': 76.42958814026642}
2,153,{'latencia': 2.4023308193979167}
2,1271,{'latencia': 24.284600428312057}
2,1069,{'latencia': 18.80469444895458}
2,882,{'latencia': 65.3464861856708}
2,327,{'latencia': 93.20618842193936}
2,727,{'latencia': 40.346869851160946}
2,851,{'latencia': 92.78680456727125}
2,548,{'latencia': 45.86107955328149}
2,1350,{'latencia': 55.26034096576559}
2,715,{'latencia': 10.524129911179815}
2,564,{'latencia': 82.17659729789986}
2,576,{'latencia': 11.3980017567216}
2,210,{'latencia': 82.74063384533827}
2,950,{'latencia': 95.83951653246966}
2,1202,{'latencia': 84.52935048429781}
2,1387,{'latencia': 84.53249889042769}
2,1103,{'latencia': 56.453336536052205}
2,1065,{'latencia': 9.418030858418586}
2,402,{'latencia': 18.50310505180267}
2,704,{'latencia': 88.36375909586003}
2,991,{'latencia': 92.62569750194196}
2,1107,{'latencia': 68.59760908085848}
2,1194,{'latencia': 19.794975294656776}
2,719,{'latencia': 19.499429091294196}
2,941,{'latencia': 85.26341258511464}
2,1343,{'latencia': 25.13696397896278}
2,1126,{'latencia': 87.1834523983445}
2,151,{'latencia': 83.82855366723378}
2,786,{'latencia': 15.258371194163509}
2,1303,{'latencia': 82.2425578961996}
2,397,{'latencia': 92.04229425965309}
2,1196,{'latencia': 94.90547767690411}
2,279,{'latencia': 96.86625459619503}
2,261,{'latencia': 77.30808659084549}
2,252,{'latencia': 75.23883016389246}
2,669,{'latencia': 50.05904027576131}
2,319,{'latencia': 18.720821552098634}
2,537,{'latencia': 88.32194657841805}
2,1401,{'latencia': 34.43498324807766}
2,170,{'latencia': 37.72479698491962}
2,902,{'latencia': 18.609774662680497}
2,1412,{'latencia': 88.73576908697524}
2,1389,{'latencia': 43.48382059850692}
2,961,{'latencia': 3.9605640353764766}
2,294,{'latencia': 77.55526825604535}
2,112,{'latencia': 54.543446934169566}
2,709,{'latencia': 63.52687595403548}
3,728,{'latencia': 43.616886052421634}
3,693,{'latencia': 50.9190048155561}
3,1078,{'latencia': 95.09672688685673}
3,1467,{'latencia': 65.03692816685927}
3,1396,{'latencia': 35.36318844509539}
3,708,{'latencia': 86.62078612088378}
3,402,{'latencia': 68.28619969101634}
3,1471,{'latencia': 40.094742987442324}
3,1029,{'latencia': 25.05012558912402}
3,73,{'latencia': 39.5977841770523}
3,1475,{'latencia': 75.92870257909338}
3,157,{'latencia': 46.98193884753705}
3,1338,{'latencia': 80.57628433473892}
3,1229,{'latencia': 12.751317497648847}
3,611,{'latencia': 79.25051534236619}
3,988,{'latencia': 33.91148930521275}
3,594,{'latencia': 33.240516406755866}
3,1360,{'latencia': 54.72003232062011}
3,1081,{'latencia': 56.15175879722065}
3,843,{'latencia': 54.92666508991555}
3,345,{'latencia': 54.48004390530734}
3,1189,{'latencia': 96.76519384653467}
3,1376,{'latencia': 78.95016889927511}
3,898,{'latencia': 56.72499829742794}
3,104,{'latencia': 90.96323692991261}
3,834,{'latencia': 62.49768364419068}
3,577,{'latencia': 7.438362322697072}
3,381,{'latencia': 85.59370424060215}
3,328,{'latencia': 70.68629412027047}
3,432,{'latencia': 99.70210356594869}
3,813,{'latencia': 95.10453953667918}
3,1450,{'latencia': 18.870191027761955}
3,921,{'latencia': 28.565033989881353}
3,1107,{'latencia': 2.4318963756932312}
3,1185,{'latencia': 13.129828024554095}
3,752,{'latencia': 63.52166768344905}
3,330,{'latencia': 59.86279547196403}
3,1285,{'latencia': 5.1126605806070025}
3,1463,{'latencia': 38.092014598995156}
3,1167,{'latencia': 68.56382249840063}
3,945,{'latencia': 97.58009501498147}
3,287,{'latencia': 69.2660600928351}
3,91,{'latencia': 4.402988539327835}
3,745,{'latencia': 97.40094676674845}
3,1333,{'latencia': 39.93668372725878}
3,864,{'latencia': 39.1669234268104}
3,836,{'latencia': 55.58404359214869}
3,329,{'latencia': 93.72957054824579}
3,305,{'latencia': 62.08119156831188}
3,142,{'latencia': 22.92993826985806}
3,257,{'latencia': 92.24094827374124}
3,919,{'latencia': 95.40258792970523}
3,228,{'latencia': 92.88035721740826}
3,319,{'latencia': 13.33023765967325}
3,1014,{'latencia': 48.62088382431383}
3,400,{'latencia': 46.030750116075865}
3,1198,{'latencia': 28.331657804577116}
3,498,{'latencia': 65.64887383816851}
3,848,{'latencia': 73.11807917364713}
3,1056,{'latencia': 95.17062971601597}
3,373,{'latencia': 83.25613785540617}
3,408,{'latencia': 70.19358437204275}
3,332,{'latencia': 17.401141164941478}
3,716,{'latencia': 49.26387715193427}
3,164,{'latencia': 17.444357406676797}
3,188,{'latencia': 45.14918829212068}
3,1050,{'latencia': 60.28344351002066}
3,33,{'latencia': 96.49416674443897}
3,266,{'latencia': 95.74833852314512}
3,1141,{'latencia': 46.54242644528142}
3,1214,{'latencia': 67.7817396903441}
3,654,{'latencia': 90.67838229389301}
3,24,{'latencia': 94.98915807151415}
3,180,{'latencia': 80.9605416360014}
3,467,{'latencia': 5.74081353392889}
3,917,{'latencia': 2.342905821989731}
3,670,{'latencia': 54.9229774420196}
4,1104,{'latencia': 88.38616952433959}
4,853,{'latencia': 60.20777993321916}
4,1223,{'latencia': 50.3529656570804}
4,875,{'latencia': 23.726395965712317}
4,1184,{'latencia': 58.25511240477406}
4,1323,{'latencia': 88.42808840704954}
4,817,{'latencia': 65.35800904288224}
4,814,{'latencia': 45.32366553149167}
4,1484,{'latencia': 18.951407446890194}
4,833,{'latencia': 22.498811386883826}
4,653,{'latencia': 44.664213332163264}
4,162,{'latencia': 67.31109776966089}
4,294,{'latencia': 26.61367686449432}
4,1020,{'latencia': 57.44104216626157}
4,212,{'latencia': 79.20082291617365}
4,96,{'latencia': 41.612252953516446}
4,967,{'latencia': 17.432682996374755}
4,1332,{'latencia': 64.63340665115642}
4,1147,{'latencia': 75.67953965480346}
4,153,{'latencia': 42.27860118119309}
4,934,{'latencia': 51.67663797319516}
4,949,{'latencia': 61.73835861028378}
4,1475,{'latencia': 74.51515887464822}
4,621,{'latencia': 40.13356006653918}
4,1149,{'latencia': 52.6261177030133}
4,625,{'latencia': 20.9467575311819}
4,413,{'latencia': 21.37769111952049}
4,738,{'latencia': 64.50473337114869}
4,1237,{'latencia': 11.610303997646078}
4,863,{'latencia': 90.34367212154692}
4,609,{'latencia': 77.86260160567414}
4,24,{'latencia': 62.46852384743298}
4,1322,{'latencia': 28.362794774728336}
4,1245,{'latencia': 73.39661882421892}
4,996,{'latencia': 76.46055553885587}
4,737,{'latencia': 50.94129879581997}
4,514,{'latencia': 67.25719401629388}
4,433,{'latencia': 51.45739891648499}
4,319,{'latencia': 25.7146541411274}
4,1194,{'latencia': 46.24899464874245}
4,1394,{'latencia': 58.000024538250365}
4,1376,{'latencia': 41.40372483784212}
4,520,{'latencia': 98.32221348744004}
4,508,{'latencia': 29.586533125503784}
4,1132,{'latencia': 63.24918533237114}
4,927,{'latencia': 36.2154654401085}
4,739,{'latencia': 38.87412628448802}
4,1162,{'latencia': 10.385466171915528}
4,1242,{'latencia': 11.885240928114346}
4,465,{'latencia': 13.152229842715817}
4,1345,{'latencia': 13.074794649311661}
4,300,{'latencia': 42.78406740489209}
4,982,{'latencia': 32.581280852713085}
4,1474,{'latencia': 84.22974983543322}
4,1482,{'latencia': 27.321336236657785}
4,679,{'latencia': 98.3528321279447}
4,148,{'latencia': 30.864713301019503}
4,449,{'latencia': 36.48386489281935}
4,75,{'latencia': 57.1148685057441}
4,42,{'latencia': 95.00914471378867}
4,571,{'latencia': 9.759190604472405}
4,1470,{'latencia': 25.543237341232036}
4,1419,{'latencia': 7.258517459374618}
4,1041,{'latencia': 85.55274320950555}
4,843,{'latencia': 40.812684619897155}
4,844,{'latencia': 8.626159044342828}
4,1284,{'latencia': 39.183607960030336}
4,255,{'latencia': 58.41691871314161}
4,95,{'latencia': 53.28984016399757}
4,450,{'latencia': 50.6732961635469}
4,1304,{'latencia': 14.275575819576309}
4,248,{'latencia': 54.57159643828642}
5,383,{'latencia': 58.676559167919706}
5,1030,{'latencia': 91.20136304006937}
5,770,{'latencia': 58.42427967959228}
5,42,{'latencia': 14.594975675975359}
5,1398,{'latencia': 18.12889215474868}
5,298,{'latencia': 59.779394204839534}
5,791,{'latencia': 33.849577756701024}
5,416,{'latencia': 33.91611314396185}
5,806,{'latencia': 97.94059165366382}
5,172,{'latencia': 16.510897051603205}
5,1488,{'latencia': 15.982902075733193}
5,1216,{'latencia': 68.68513687856486}
5,197,{'latencia': 1.5861745434485806}
5,666,{'latencia': 69.96390150006172}
5,1318,{'latencia': 14.31796639985177}
5,186,{'latencia': 31.848153573117155}
5,56,{'latencia': 1.9838272865727746}
5,1357,{'latencia': 70.1522093570188}
5,1096,{'latencia': 50.18727169262761}
5,1126,{'latencia': 92.54222518872935}
5,787,{'latencia': 4.869457290674077}
5,404,{'latencia': 44.422158300336925}
5,1497,{'latencia': 21.67180247379123}
5,713,{'latencia': 75.05009986629642}
5,385,{'latencia': 57.07360677884037}
5,851,{'latencia': 46.67858011905183}
5,1058,{'latencia': 45.424030278483755}
5,115,{'latencia': 19.065134495954254}
5,569,{'latencia': 22.3188667856404}
5,1064,{'latencia': 39.23927252862902}
5,227,{'latencia': 82.10103120436409}
5,640,{'latencia': 16.57957536162632}
5,953,{'latencia': 87.39136898625432}
5,1162,{'latencia': 45.468438208519736}
5,81,{'latencia': 42.17493989312074}
5,1244,{'latencia': 69.04471939598051}
5,491,{'latencia': 36.05603170407823}
5,1258,{'latencia': 92.39841705375161}
5,575,{'latencia': 11.285515284618896}
5,527,{'latencia': 65.37146418545956}
5,1301,{'latencia': 73.10011568651333}
5,1182,{'latencia': 36.01105407627239}
5,923,{'latencia': 55.23790365310895}
5,992,{'latencia': 14.397668910260691}
5,784,{'latencia': 92.96681501010052}
5,102,{'latencia': 36.12000890893618}
5,381,{'latencia': 7.886871145655177}
5,831,{'latencia': 61.8916754726675}
5,1292,{'latencia': 53.77160590463773}
5,1336,{'latencia': 97.80139953598106}
5,1153,{'latencia': 54.12198778320194}
5,1156,{'latencia': 78.30363176800039}
5,543,{'latencia': 33.14772210136783}
5,212,{'latencia': 87.62916304655057}
5,484,{'latencia': 65.57096908206621}
5,786,{'latencia': 50.01041152263035}
5,35,{'latencia': 35.89881184647717}
5,694,{'latencia': 63.1181965430027}
5,43,{'latencia': 64.85520492514121}
5,905,{'latencia': 9.461942901099707}
5,983,{'latencia': 24.690473449151206}
5,1081,{'latencia': 27.00359149659179}
5,431,{'latencia': 72.77238357284301}
5,1392,{'latencia': 59.03140471220792}
5,1459,{'latencia': 88.7968214463713}
6,631,{'latencia': 58.407731188509175}
6,403,{'latencia': 87.59226871383757}
6,1002,{'latencia': 11.19476583273043}
6,271,{'latencia': 89.60449777394916}
6,972,{'latencia': 21.54599790136615}
6,1101,{'latencia': 49.13485702843949}
6,292,{'latencia': 47.07998222665987}
6,1251,{'latencia': 69.91954353098917}
6,1394,{'latencia': 83.40519729611258}
6,1411,{'latencia': 40.54265086023381}
6,33,{'latencia': 37.01830587282952}
6,43,{'latencia': 90.81407861433699}
6,722,{'latencia': 87.69766018423634}
6,301,{'latencia': 59.651050560098234}
6,1442,{'latencia': 46.42163513831056}
6,999,{'latencia': 75.76204236499635}
6,639,{'latencia': 62.66027594901761}
6,1480,{'latencia': 59.60641513732797}
6,1164,{'latencia': 15.269564386950421}
6,768,{'latencia': 99.0653712872171}
6,1399,{'latencia': 25.040527066590965}
6,806,{'latencia': 63.70726963540348}
6,293,{'latencia': 71.04322168660804}
6,1067,{'latencia': 77.37259417947215}
6,210,{'latencia': 67.74492446794982}
6,610,{'latencia': 77.37589785128077}
6,859,{'latencia': 70.03328785068229}
6,1497,{'latencia': 74.49188824640466}
6,782,{'latencia': 10.014244052532746}
6,270,{'latencia': 94.15092762013263}
6,523,{'latencia': 26.5611328745971}
6,62,{'latencia': 32.07631682080192}
6,1445,{'latencia': 45.02721114631229}
6,263,{'latencia': 93.41516195812214}
6,1371,{'latencia': 94.11464045219189}
6,815,{'latencia': 87.56230852209015}
6,218,{'latencia': 89.05222510379747}
6,400,{'latencia': 84.5307540363371}
6,650,{'latencia': 90.52616461669736}
6,448,{'latencia': 57.06067344229032}
6,851,{'latencia': 30.639790059714098}
6,1476,{'latencia': 51.45624103272156}
6,339,{'latencia': 4.8029244053444184}
6,1254,{'latencia': 51.82892362662019}
6,147,{'latencia': 7.012570701228146}
6,508,{'latencia': 75.28979262431852}
6,326,{'latencia': 6.941153956352274}
6,629,{'latencia': 85.4799174491551}
6,348,{'latencia': 78.47612575116617}
6,320,{'latencia': 94.57860712513956}
6,657,{'latencia': 63.86890324520911}
6,429,{'latencia': 91.77000787720198}
6,488,{'latencia': 37.408207200073235}
6,888,{'latencia': 47.82851387111202}
6,224,{'latencia': 58.212845283095746}
6,1446,{'latencia': 73.08721365814296}
6,513,{'latencia': 11.48192443268465}
6,205,{'latencia': 26.245068525191105}
6,1354,{'latencia': 51.11730579735667}
6,1323,{'latencia': 96.24911698479183}
6,112,{'latencia': 18.108486781533486}
6,1065,{'latencia': 47.63475415643055}
6,330,{'latencia': 17.54363692898117}
6,332,{'latencia': 88.47904273104318}
6,530,{'latencia': 17.027925221810268}
6,214,{'latencia': 69.99740556089331}
6,1158,{'latencia': 5.587580600800625}
6,884,{'latencia': 31.857496721859295}
6,36,{'latencia': 55.1066336927689}
6,1329,{'latencia': 11.906306811857041}
6,1460,{'latencia': 64.49365227072182}
6,357,{'latencia': 99.64236592322855}
6,418,{'latencia': 17.405904604903544}
7,659,{'latencia': 67.23419525003469}
7,1288,{'latencia': 40.10180198738169}
7,140,{'latencia': 92.66682938593726}
7,128,{'latencia': 54.33300744347268}
7,634,{'latencia': 22.14103121996642}
7,679,{'latencia': 38.55089456056248}
7,352,{'latencia': 62.30323145702717}
7,1427,{'latencia': 6.089518545694698}
7,1343,{'latencia': 71.29452333558238}
7,190,{'latencia': 76.67046348108906}
7,1228,{'latencia': 8.750100664802066}
7,410,{'latencia': 37.60359960503543}
7,667,{'latencia': 32.38485881992905}
7,188,{'latencia': 98.95869220021247}
7,1388,{'latencia': 49.05762140382305}
7,114,{'latencia': 39.563413847369304}
7,1492,{'latencia': 92.87902003132889}
7,1399,{'latencia': 37.62726603817405}
7,1308,{'latencia': 67.26315436608066}
7,1181,{'latencia': 87.75863613114214}
7,1029,{'latencia': 6.596803104535971}
7,361,{'latencia': 41.135131545156675}
7,1221,{'latencia': 2.881622183736939}
7,1324,{'latencia': 68.38932707631851}
7,703,{'latencia': 80.1628311581937}
7,1334,{'latencia': 30.847801067851737}
7,71,{'latencia': 53.32340655989698}
7,544,{'latencia': 44.18394333350047}
7,262,{'latencia': 14.418980581890759}
7,1400,{'latencia': 66.88771850035533}
7,515,{'latencia': 67.75725260663586}
7,307,{'latencia': 18.969537610809716}
7,224,{'latencia': 28.71656583821512}
7,991,{'latencia': 49.472870853500645}
7,779,{'latencia': 45.35865601215927}
7,1464,{'latencia': 31.341138527452337}
7,992,{'latencia': 82.38945538483047}
7,1118,{'latencia': 30.917616008391462}
7,1022,{'latencia': 80.80300842044699}
7,542,{'latencia': 30.759587985477193}
7,388,{'latencia': 33.10133521886349}
7,556,{'latencia': 52.21649168192427}
7,1417,{'latencia': 54.22510870290864}
7,154,{'latencia': 96.16952413235175}
7,348,{'latencia': 11.93568249401854}
7,564,{'latencia': 64.84532817589889}
7,1198,{'latencia': 94.98874780054895}
7,763,{'latencia': 30.93653971373521}
7,646,{'latencia': 9.179472636771017}
7,275,{'latencia': 81.1428125212614}
7,295,{'latencia': 46.296253531839064}
7,1230,{'latencia': 25.432602970775804}
7,62,{'latencia': 54.218065576391076}
7,181,{'latencia': 64.74684478260384}
7,806,{'latencia': 23.55342837643911}
7,513,{'latencia': 91.02894099924781}
7,1454,{'latencia': 70.51992252984871}
7,1360,{'latencia': 17.183869198844352}
7,1020,{'latencia': 26.227833911360896}
7,1132,{'latencia': 84.68390728402424}
7,1380,{'latencia': 88.57849699052517}
7,1421,{'latencia': 26.693635090389026}
7,840,{'latencia': 50.027247534589726}
7,1078,{'latencia': 39.24287377663133}
7,804,{'latencia': 68.6565754407716}
7,75,{'latencia': 54.922378847661165}
7,456,{'latencia': 75.5815130080831}
7,492,{'latencia': 27.46464144642439}
7,82,{'latencia': 93.21678094862787}
7,812,{'latencia': 79.64494414305047}
7,261,{'latencia': 85.11422841214672}
7,433,{'latencia': 58.238812662675954}
7,1258,{'latencia': 12.988508239654147}
7,99,{'latencia': 74.5468436830903}
8,362,{'latencia': 94.42086251183159}
8,1394,{'latencia': 92.35649214800186}
8,1011,{'latencia': 17.962574275073077}
8,1184,{'latencia': 17.87408109936578}
8,686,{'latencia': 87.78939230240776}
8,962,{'latencia': 93.802372465584}
8,253,{'latencia': 99.05394259864887}
8,121,{'latencia': 34.94471261302022}
8,1307,{'latencia': 69.31002333939496}
8,545,{'latencia': 37.72527741702799}
8,192,{'latencia': 87.49111206506517}
8,298,{'latencia': 83.17634144427953}
8,1368,{'latencia': 97.1708100860355}
8,1292,{'latencia': 12.357080692175533}
8,573,{'latencia': 57.30107281154306}
8,1089,{'latencia': 98.2691804397141}
8,708,{'latencia': 65.84461658684553}
8,690,{'latencia': 17.95086020724026}
8,511,{'latencia': 42.95275170410261}
8,841,{'latencia': 29.814070815158484}
8,1150,{'latencia': 94.3348553280632}
8,907,{'latencia': 86.81292112622232}
8,300,{'latencia': 22.095877783874272}
8,1354,{'latencia': 63.34584309956518}
8,1166,{'latencia': 29.618897644598306}
8,1253,{'latencia': 33.37342186401213}
8,640,{'latencia': 53.20602289637045}
8,1409,{'latencia': 87.5814440469647}
8,646,{'latencia': 35.38300843213383}
8,1498,{'latencia': 21.149313728348424}
8,777,{'latencia': 23.61421079590795}
8,1160,{'latencia': 55.9098568532587}
8,469,{'latencia': 18.568601608244858}
8,160,{'latencia': 17.400412647266258}
8,666,{'latencia': 54.703206833926906}
8,1085,{'latencia': 13.632579921890033}
8,92,{'latencia': 87.53903424910038}
8,1104,{'latencia': 80.38370723665503}
8,870,{'latencia': 39.28206515381001}
8,669,{'latencia': 30.30198786413024}
8,671,{'latencia': 55.527517389415664}
8,1496,{'latencia': 98.1083835231826}
8,403,{'latencia': 25.614021396810088}
8,509,{'latencia': 67.39136890914816}
8,910,{'latencia': 56.91689508719325}
8,251,{'latencia': 14.301073228132822}
8,109,{'latencia': 99.89560643267681}
8,1014,{'latencia': 84.13624622126335}
8,1288,{'latencia': 68.9753153141346}
8,769,{'latencia': 85.26244653550918}
8,751,{'latencia': 92.13101486922912}
8,1211,{'latencia': 74.90136681591663}
8,324,{'latencia': 72.57062742638219}
8,129,{'latencia': 13.155012532852453}
8,320,{'latencia': 24.571737099128885}
8,143,{'latencia': 67.05238627223312}
8,1386,{'latencia': 86.93790219423134}
8,296,{'latencia': 2.095569010695009}
8,425,{'latencia': 94.91089343542801}
8,305,{'latencia': 80.3210009493917}
8,1431,{'latencia': 8.74695662043234}
8,692,{'latencia': 49.083951464237}
8,1377,{'latencia': 56.0447328842795}
8,197,{'latencia': 3.022389440691448}
8,603,{'latencia': 22.27801213382306}
8,1102,{'latencia': 17.518580494967765}
8,533,{'latencia': 17.337697982755905}
8,1051,{'latencia': 19.579527860644347}
8,979,{'latencia': 81.56302768391176}
8,1463,{'latencia': 30.67180576336472}
8,1009,{'latencia': 71.02577207033146}
8,333,{'latencia': 98.59938535618187}
8,980,{'latencia': 33.840668344535985}
