Nodo,Datos
24,"{'ID': 24, 'Marca': 'HP', 'Modelo': 'QvVjKo', 'Puertos': 15, 'Ubicacion': (16.253529504164877, 84.95523555875928), 'AnchoDeBanda': 6}"
25,"{'ID': 25, 'Marca': 'TP-Link', 'Modelo': 'wL96cK', 'Puertos': 44, 'Ubicacion': (34.0068495806634, 91.73551744526969), 'AnchoDeBanda': 598}"
26,"{'ID': 26, 'Marca': 'Cisco', 'Modelo': 'pDpbwX', 'Puertos': 6, 'Ubicacion': (64.7863499967252, 42.02321330143201), 'AnchoDeBanda': 494}"
27,"{'ID': 27, 'Marca': 'FireEye', 'Modelo': 'TaDLQt', 'Puertos': 25, 'Ubicacion': (6.322717157801683, 71.76223767359002), 'AnchoDeBanda': 452}"
28,"{'ID': 28, 'Marca': 'TP-Link', 'Modelo': '8XA0Vz', 'Puertos': 23, 'Ubicacion': (61.052775714900285, 76.3609705810558), 'AnchoDeBanda': 594}"
29,"{'ID': 29, 'Marca': 'Riverbed Technology', 'Modelo': 'AoX2fP', 'Puertos': 25, 'Ubicacion': (72.57819964000443, 43.84680756023982), 'AnchoDeBanda': 241}"
30,"{'ID': 30, 'Marca': 'HP', 'Modelo': '7KTgT6', 'Puertos': 26, 'Ubicacion': (71.04289594088438, 32.027803256759626), 'AnchoDeBanda': 708}"
31,"{'ID': 31, 'Marca': 'FireEye', 'Modelo': 'tSnbGM', 'Puertos': 26, 'Ubicacion': (91.7416016933338, 28.27688904341438), 'AnchoDeBanda': 652}"
32,"{'ID': 32, 'Marca': 'Riverbed Technology', 'Modelo': 'lckIPy', 'Puertos': 39, 'Ubicacion': (88.07752486281532, 3.7243740763732713), 'AnchoDeBanda': 172}"
33,"{'ID': 33, 'Marca': 'Check Point', 'Modelo': 'DDW5xk', 'Puertos': 50, 'Ubicacion': (22.017890114588223, 96.19766560894068), 'AnchoDeBanda': 524}"
34,"{'ID': 34, 'Marca': 'Ubiquiti Networks', 'Modelo': 'SAKa9t', 'Puertos': 38, 'Ubicacion': (39.805119116909616, 70.34776223376852), 'AnchoDeBanda': 461}"
35,"{'ID': 35, 'Marca': 'Riverbed Technology', 'Modelo': 'fYinFN', 'Puertos': 17, 'Ubicacion': (52.33376529992789, 59.15002857541847), 'AnchoDeBanda': 916}"
36,"{'ID': 36, 'Marca': 'Riverbed Technology', 'Modelo': 'SbFlYH', 'Puertos': 44, 'Ubicacion': (75.02333357768332, 78.21669522345086), 'AnchoDeBanda': 320}"
37,"{'ID': 37, 'Marca': 'Cisco', 'Modelo': 'Nw7NdI', 'Puertos': 50, 'Ubicacion': (75.06677170406405, 93.48844094621728), 'AnchoDeBanda': 604}"
38,"{'ID': 38, 'Marca': 'F5 Networks', 'Modelo': '8pLGpJ', 'Puertos': 12, 'Ubicacion': (41.825490583125955, 86.46422749847133), 'AnchoDeBanda': 866}"
39,"{'ID': 39, 'Marca': 'Juniper Networks', 'Modelo': 'UwGP1u', 'Puertos': 24, 'Ubicacion': (35.99828764861158, 41.28100184163156), 'AnchoDeBanda': 966}"
40,"{'ID': 40, 'Marca': 'Ubiquiti Networks', 'Modelo': 'pambDm', 'Puertos': 27, 'Ubicacion': (13.367741162404567, 28.019750006364152), 'AnchoDeBanda': 306}"
41,"{'ID': 41, 'Marca': 'Ubiquiti Networks', 'Modelo': 'Z1c5uE', 'Puertos': 34, 'Ubicacion': (5.44370523436426, 21.008246251739703), 'AnchoDeBanda': 515}"
42,"{'ID': 42, 'Marca': 'Ubiquiti Networks', 'Modelo': 'J8hwNw', 'Puertos': 16, 'Ubicacion': (58.955767369476476, 9.43180454441288), 'AnchoDeBanda': 382}"
43,"{'ID': 43, 'Marca': 'Ruckus Networks', 'Modelo': 'HJ4YFj', 'Puertos': 14, 'Ubicacion': (0.8910874110997002, 31.32847908900891), 'AnchoDeBanda': 956}"
44,"{'ID': 44, 'Marca': 'Check Point', 'Modelo': 'uMnxCM', 'Puertos': 28, 'Ubicacion': (45.011528823732874, 67.6089942669442), 'AnchoDeBanda': 404}"
45,"{'ID': 45, 'Marca': 'FireEye', 'Modelo': 'r5R2AX', 'Puertos': 50, 'Ubicacion': (23.920437393823413, 17.04400839969492), 'AnchoDeBanda': 141}"
46,"{'ID': 46, 'Marca': 'Pulse Secure', 'Modelo': 'iR0AXZ', 'Puertos': 36, 'Ubicacion': (33.645272867768206, 81.39442390297314), 'AnchoDeBanda': 974}"
47,"{'ID': 47, 'Marca': 'Huawei', 'Modelo': '2hCTCN', 'Puertos': 26, 'Ubicacion': (96.68051267325524, 58.460421500890426), 'AnchoDeBanda': 80}"
48,"{'ID': 48, 'Marca': 'Pulse Secure', 'Modelo': 'jXbwCm', 'Puertos': 8, 'Ubicacion': (9.785113725699212, 1.6498182886609647), 'AnchoDeBanda': 561}"
49,"{'ID': 49, 'Marca': 'Zyxel', 'Modelo': 'pJtpVl', 'Puertos': 40, 'Ubicacion': (96.9139460479924, 98.69767680703329), 'AnchoDeBanda': 749}"
50,"{'ID': 50, 'Marca': 'Netgear', 'Modelo': 'PlNY1S', 'Puertos': 24, 'Ubicacion': (85.66550330905822, 68.83985797147099), 'AnchoDeBanda': 377}"
51,"{'ID': 51, 'Marca': 'Check Point', 'Modelo': '72Gbva', 'Puertos': 15, 'Ubicacion': (95.1138108770367, 77.45430203749301), 'AnchoDeBanda': 939}"
52,"{'ID': 52, 'Marca': 'Ubiquiti Networks', 'Modelo': 'dbioGo', 'Puertos': 7, 'Ubicacion': (85.50084402058732, 32.020713976342705), 'AnchoDeBanda': 244}"
53,"{'ID': 53, 'Marca': 'Barracuda Networks', 'Modelo': '7jkmFJ', 'Puertos': 27, 'Ubicacion': (64.06485288110193, 54.3554389103847), 'AnchoDeBanda': 221}"
54,"{'ID': 54, 'Marca': 'Barracuda Networks', 'Modelo': '346fqt', 'Puertos': 19, 'Ubicacion': (59.13415943555494, 72.11982979983304), 'AnchoDeBanda': 825}"
55,"{'ID': 55, 'Marca': 'Ubiquiti Networks', 'Modelo': 'V7oYEj', 'Puertos': 30, 'Ubicacion': (51.528753744092185, 75.62716811446948), 'AnchoDeBanda': 984}"
56,"{'ID': 56, 'Marca': 'Ruckus Networks', 'Modelo': '5UgAb1', 'Puertos': 20, 'Ubicacion': (45.16822140173247, 83.17516849616825), 'AnchoDeBanda': 530}"
57,"{'ID': 57, 'Marca': 'Pulse Secure', 'Modelo': 'xhOahH', 'Puertos': 21, 'Ubicacion': (73.49828031328379, 3.2035899251644517), 'AnchoDeBanda': 971}"
58,"{'ID': 58, 'Marca': 'Riverbed Technology', 'Modelo': 'U4mrZE', 'Puertos': 37, 'Ubicacion': (27.85828809720413, 1.2999724232070409), 'AnchoDeBanda': 966}"
59,"{'ID': 59, 'Marca': 'Riverbed Technology', 'Modelo': '8TUGC8', 'Puertos': 41, 'Ubicacion': (98.8264493559449, 17.347640985535108), 'AnchoDeBanda': 528}"
60,"{'ID': 60, 'Marca': 'Cisco', 'Modelo': 'gYfPIB', 'Puertos': 49, 'Ubicacion': (61.27615364956818, 16.310533409676264), 'AnchoDeBanda': 566}"
61,"{'ID': 61, 'Marca': 'HP', 'Modelo': 'AjMqwD', 'Puertos': 43, 'Ubicacion': (65.86127113205524, 82.4592598984605), 'AnchoDeBanda': 774}"
62,"{'ID': 62, 'Marca': 'Zyxel', 'Modelo': 'dyQTd6', 'Puertos': 24, 'Ubicacion': (67.08075932330692, 91.09308570801187), 'AnchoDeBanda': 911}"
63,"{'ID': 63, 'Marca': 'Avaya', 'Modelo': 'v923Wy', 'Puertos': 50, 'Ubicacion': (41.074061767650285, 90.14170468099144), 'AnchoDeBanda': 530}"
64,"{'ID': 64, 'Marca': 'F5 Networks', 'Modelo': 'aXUFiH', 'Puertos': 22, 'Ubicacion': (89.0554820073549, 12.536750379534533), 'AnchoDeBanda': 150}"
65,"{'ID': 65, 'Marca': 'FireEye', 'Modelo': 'qJeCPA', 'Puertos': 18, 'Ubicacion': (77.82696804450123, 10.79464340757228), 'AnchoDeBanda': 56}"
66,"{'ID': 66, 'Marca': 'Avaya', 'Modelo': 'kh2cRz', 'Puertos': 27, 'Ubicacion': (60.78627569734779, 5.396784243175512), 'AnchoDeBanda': 284}"
67,"{'ID': 67, 'Marca': 'Dell', 'Modelo': 'p0rDG5', 'Puertos': 50, 'Ubicacion': (6.645970082337116, 60.506576581803586), 'AnchoDeBanda': 891}"
68,"{'ID': 68, 'Marca': 'Juniper Networks', 'Modelo': 'olhtbe', 'Puertos': 45, 'Ubicacion': (2.8912633917317243, 60.18267662753484), 'AnchoDeBanda': 357}"
69,"{'ID': 69, 'Marca': 'Ruckus Networks', 'Modelo': 'XjZPzU', 'Puertos': 24, 'Ubicacion': (90.96050222965913, 99.69354998372822), 'AnchoDeBanda': 228}"
70,"{'ID': 70, 'Marca': 'Aruba Networks', 'Modelo': 'dF0qUz', 'Puertos': 38, 'Ubicacion': (47.76282256386699, 96.82479346688245), 'AnchoDeBanda': 285}"
71,"{'ID': 71, 'Marca': 'Netgear', 'Modelo': '6Zrffg', 'Puertos': 42, 'Ubicacion': (97.91793680091185, 27.598123737956403), 'AnchoDeBanda': 800}"
72,"{'ID': 72, 'Marca': 'Juniper Networks', 'Modelo': 'izTktV', 'Puertos': 42, 'Ubicacion': (2.626011977715925, 11.332287851567024), 'AnchoDeBanda': 398}"
73,"{'ID': 73, 'Marca': 'Cisco', 'Modelo': 'VbhstS', 'Puertos': 5, 'Ubicacion': (6.807543656976057, 88.43363721929676), 'AnchoDeBanda': 561}"
74,"{'ID': 74, 'Marca': 'F5 Networks', 'Modelo': 'XJPzKJ', 'Puertos': 13, 'Ubicacion': (45.41931665273559, 28.77578778542712), 'AnchoDeBanda': 595}"
75,"{'ID': 75, 'Marca': 'Aruba Networks', 'Modelo': 'rPaf2B', 'Puertos': 25, 'Ubicacion': (20.81265424973242, 41.03389659549775), 'AnchoDeBanda': 783}"
76,"{'ID': 76, 'Marca': 'Barracuda Networks', 'Modelo': 'cIBnXq', 'Puertos': 45, 'Ubicacion': (84.92636961891773, 47.51709189748892), 'AnchoDeBanda': 693}"
77,"{'ID': 77, 'Marca': 'Cisco', 'Modelo': 'pFGzBW', 'Puertos': 27, 'Ubicacion': (88.47640972721553, 34.91474571958979), 'AnchoDeBanda': 279}"
78,"{'ID': 78, 'Marca': 'Pulse Secure', 'Modelo': 'ngHkYE', 'Puertos': 7, 'Ubicacion': (68.52866507213294, 98.49708477005349), 'AnchoDeBanda': 366}"
79,"{'ID': 79, 'Marca': 'Ubiquiti Networks', 'Modelo': 'fJrV1a', 'Puertos': 21, 'Ubicacion': (81.18454381419416, 83.86742332877007), 'AnchoDeBanda': 694}"
80,"{'ID': 80, 'Marca': 'Netgear', 'Modelo': 'PXLsMe', 'Puertos': 30, 'Ubicacion': (63.99544229016484, 30.25649388081646), 'AnchoDeBanda': 820}"
81,"{'ID': 81, 'Marca': 'HP', 'Modelo': 'CgUIa2', 'Puertos': 50, 'Ubicacion': (18.642260984054325, 7.800609493107369), 'AnchoDeBanda': 964}"
82,"{'ID': 82, 'Marca': 'Dell', 'Modelo': '5b0FiL', 'Puertos': 39, 'Ubicacion': (95.28947152963572, 25.950227512526236), 'AnchoDeBanda': 822}"
83,"{'ID': 83, 'Marca': 'Check Point', 'Modelo': 'opVwym', 'Puertos': 40, 'Ubicacion': (9.923664511995467, 62.66580581599528), 'AnchoDeBanda': 401}"
84,"{'ID': 84, 'Marca': 'Riverbed Technology', 'Modelo': 'Daluee', 'Puertos': 39, 'Ubicacion': (31.390066330497245, 49.80303542268627), 'AnchoDeBanda': 485}"
85,"{'ID': 85, 'Marca': 'TP-Link', 'Modelo': 'sXbbeT', 'Puertos': 22, 'Ubicacion': (44.80871953910827, 94.00729764563435), 'AnchoDeBanda': 236}"
86,"{'ID': 86, 'Marca': 'Netgear', 'Modelo': 'UNPpgN', 'Puertos': 20, 'Ubicacion': (0.8669443267554922, 31.78332641620145), 'AnchoDeBanda': 374}"
87,"{'ID': 87, 'Marca': 'Dell', 'Modelo': '6OxGfw', 'Puertos': 50, 'Ubicacion': (96.93132584970675, 22.15989446572575), 'AnchoDeBanda': 518}"
88,"{'ID': 88, 'Marca': 'Check Point', 'Modelo': 'aAe2D8', 'Puertos': 44, 'Ubicacion': (93.540625963196, 27.996393652892625), 'AnchoDeBanda': 857}"
89,"{'ID': 89, 'Marca': 'Aruba Networks', 'Modelo': 'uMVGFF', 'Puertos': 34, 'Ubicacion': (10.334340947733144, 14.46613935675536), 'AnchoDeBanda': 804}"
90,"{'ID': 90, 'Marca': 'Check Point', 'Modelo': 'LpgTnj', 'Puertos': 12, 'Ubicacion': (92.1021364448999, 34.95955430489194), 'AnchoDeBanda': 52}"
91,"{'ID': 91, 'Marca': 'Aruba Networks', 'Modelo': 'UuVh4p', 'Puertos': 10, 'Ubicacion': (23.179944796503193, 97.49062250280089), 'AnchoDeBanda': 519}"
92,"{'ID': 92, 'Marca': 'Check Point', 'Modelo': 'mYkVs8', 'Puertos': 9, 'Ubicacion': (36.66052971223402, 93.8180976067541), 'AnchoDeBanda': 258}"
93,"{'ID': 93, 'Marca': 'Avaya', 'Modelo': 'ya2mmz', 'Puertos': 34, 'Ubicacion': (92.0899046534476, 6.744598263796409), 'AnchoDeBanda': 746}"
94,"{'ID': 94, 'Marca': 'Ruckus Networks', 'Modelo': 'KU7gIS', 'Puertos': 43, 'Ubicacion': (82.44061539799048, 41.66201928631841), 'AnchoDeBanda': 709}"
95,"{'ID': 95, 'Marca': 'Barracuda Networks', 'Modelo': 'OSKVdc', 'Puertos': 22, 'Ubicacion': (30.45071104687387, 72.03263408326676), 'AnchoDeBanda': 898}"
96,"{'ID': 96, 'Marca': 'Ubiquiti Networks', 'Modelo': 'r6bapm', 'Puertos': 44, 'Ubicacion': (81.15516593567685, 50.51862709927326), 'AnchoDeBanda': 727}"
97,"{'ID': 97, 'Marca': 'Check Point', 'Modelo': 'JS7Tta', 'Puertos': 29, 'Ubicacion': (67.04855737158363, 95.8276294055753), 'AnchoDeBanda': 902}"
98,"{'ID': 98, 'Marca': 'Check Point', 'Modelo': '52fFrx', 'Puertos': 10, 'Ubicacion': (17.063675756472442, 28.263344187833685), 'AnchoDeBanda': 84}"
99,"{'ID': 99, 'Marca': 'FireEye', 'Modelo': 'ItsjAH', 'Puertos': 41, 'Ubicacion': (34.81234704872597, 18.348510136631504), 'AnchoDeBanda': 887}"
100,"{'ID': 100, 'Marca': 'Huawei', 'Modelo': 'yil1G4', 'Puertos': 14, 'Ubicacion': (93.62069370025894, 58.885785167930074), 'AnchoDeBanda': 272}"
101,"{'ID': 101, 'Marca': 'F5 Networks', 'Modelo': 'uezVcc', 'Puertos': 17, 'Ubicacion': (69.3763399382285, 58.75428695461217), 'AnchoDeBanda': 384}"
102,"{'ID': 102, 'Marca': 'Pulse Secure', 'Modelo': 'eVGabO', 'Puertos': 6, 'Ubicacion': (78.25509718739755, 70.26053641296237), 'AnchoDeBanda': 487}"
103,"{'ID': 103, 'Marca': 'Cisco', 'Modelo': 'G3BvIr', 'Puertos': 27, 'Ubicacion': (4.388966136665495, 43.5635517810488), 'AnchoDeBanda': 967}"
104,"{'ID': 104, 'Marca': 'Pulse Secure', 'Modelo': '3Oj2Zy', 'Puertos': 28, 'Ubicacion': (18.439833301997155, 25.284358237481097), 'AnchoDeBanda': 676}"
105,"{'ID': 105, 'Marca': 'Pulse Secure', 'Modelo': 'k2setT', 'Puertos': 39, 'Ubicacion': (46.1281668375366, 89.2391242518374), 'AnchoDeBanda': 666}"
106,"{'ID': 106, 'Marca': 'Avaya', 'Modelo': '0e7v0l', 'Puertos': 32, 'Ubicacion': (10.362452499873465, 25.554226013459857), 'AnchoDeBanda': 838}"
107,"{'ID': 107, 'Marca': 'Ruckus Networks', 'Modelo': 'BeyOaf', 'Puertos': 31, 'Ubicacion': (5.289396044591854, 98.65166148042871), 'AnchoDeBanda': 477}"
108,"{'ID': 108, 'Marca': 'Aruba Networks', 'Modelo': 'ZRikA6', 'Puertos': 6, 'Ubicacion': (78.25862142047649, 12.397038553965235), 'AnchoDeBanda': 328}"
109,"{'ID': 109, 'Marca': 'Ruckus Networks', 'Modelo': 'mFhpaP', 'Puertos': 42, 'Ubicacion': (43.50953664044237, 85.04033794849465), 'AnchoDeBanda': 668}"
110,"{'ID': 110, 'Marca': 'HP', 'Modelo': 'I8QBMB', 'Puertos': 40, 'Ubicacion': (61.70780264607476, 10.934998636353487), 'AnchoDeBanda': 77}"
111,"{'ID': 111, 'Marca': 'Check Point', 'Modelo': 'ZEyG89', 'Puertos': 22, 'Ubicacion': (53.339745982757655, 59.26656799586843), 'AnchoDeBanda': 297}"
112,"{'ID': 112, 'Marca': 'Aruba Networks', 'Modelo': 'zeVwPc', 'Puertos': 39, 'Ubicacion': (50.87234137203518, 26.825945311450226), 'AnchoDeBanda': 690}"
113,"{'ID': 113, 'Marca': 'F5 Networks', 'Modelo': 'ZyBeyT', 'Puertos': 47, 'Ubicacion': (67.63613912409943, 68.80406685291607), 'AnchoDeBanda': 677}"
114,"{'ID': 114, 'Marca': 'Check Point', 'Modelo': '8t93KF', 'Puertos': 24, 'Ubicacion': (15.707199044472375, 6.917353752774458), 'AnchoDeBanda': 458}"
115,"{'ID': 115, 'Marca': 'Ubiquiti Networks', 'Modelo': 'dbijAE', 'Puertos': 19, 'Ubicacion': (83.36830042226299, 20.179449192842004), 'AnchoDeBanda': 238}"
116,"{'ID': 116, 'Marca': 'F5 Networks', 'Modelo': 'T96M2J', 'Puertos': 43, 'Ubicacion': (85.47344151252639, 86.66014340215253), 'AnchoDeBanda': 386}"
117,"{'ID': 117, 'Marca': 'Juniper Networks', 'Modelo': 'SFJJLd', 'Puertos': 35, 'Ubicacion': (10.4887813694158, 13.76100402813557), 'AnchoDeBanda': 215}"
118,"{'ID': 118, 'Marca': 'Dell', 'Modelo': 'pm1W7u', 'Puertos': 30, 'Ubicacion': (36.163563587106125, 43.94311824930234), 'AnchoDeBanda': 77}"
119,"{'ID': 119, 'Marca': 'HP', 'Modelo': 'oLlxZn', 'Puertos': 47, 'Ubicacion': (54.311648582731976, 17.46029379055114), 'AnchoDeBanda': 68}"
120,"{'ID': 120, 'Marca': 'Cisco', 'Modelo': 'maiUnt', 'Puertos': 36, 'Ubicacion': (84.6211746888849, 6.858432951542159), 'AnchoDeBanda': 523}"
121,"{'ID': 121, 'Marca': 'FireEye', 'Modelo': 'SzJZpr', 'Puertos': 48, 'Ubicacion': (30.802635289430814, 22.77374717192694), 'AnchoDeBanda': 741}"
122,"{'ID': 122, 'Marca': 'Barracuda Networks', 'Modelo': 'QD2fV9', 'Puertos': 20, 'Ubicacion': (34.28977967393878, 19.177044041718215), 'AnchoDeBanda': 52}"
123,"{'ID': 123, 'Marca': 'F5 Networks', 'Modelo': 'nIjbTJ', 'Puertos': 50, 'Ubicacion': (56.74451010884036, 40.97858458053797), 'AnchoDeBanda': 302}"
124,"{'ID': 124, 'Marca': 'Ruckus Networks', 'Modelo': 'Yp62rI', 'Puertos': 18, 'Ubicacion': (86.97782598767635, 51.33892348468942), 'AnchoDeBanda': 777}"
125,"{'ID': 125, 'Marca': 'TP-Link', 'Modelo': 'UyGR6r', 'Puertos': 9, 'Ubicacion': (19.673488061310817, 50.642465961517146), 'AnchoDeBanda': 62}"
126,"{'ID': 126, 'Marca': 'Huawei', 'Modelo': 'anANlW', 'Puertos': 47, 'Ubicacion': (97.03989814600095, 91.61801659377329), 'AnchoDeBanda': 361}"
127,"{'ID': 127, 'Marca': 'Avaya', 'Modelo': 'SBt6Dy', 'Puertos': 32, 'Ubicacion': (50.35524455226865, 55.58546302993077), 'AnchoDeBanda': 189}"
128,"{'ID': 128, 'Marca': 'Check Point', 'Modelo': 'crgAEt', 'Puertos': 29, 'Ubicacion': (48.37447199643052, 13.479248308156933), 'AnchoDeBanda': 850}"
129,"{'ID': 129, 'Marca': 'Aruba Networks', 'Modelo': 'Vp6cwc', 'Puertos': 11, 'Ubicacion': (58.367047563745864, 3.814093155789655), 'AnchoDeBanda': 538}"
130,"{'ID': 130, 'Marca': 'Ruckus Networks', 'Modelo': 'fcjZ8X', 'Puertos': 48, 'Ubicacion': (62.08227122127784, 55.76786285249191), 'AnchoDeBanda': 57}"
131,"{'ID': 131, 'Marca': 'Ruckus Networks', 'Modelo': 'JrldHO', 'Puertos': 42, 'Ubicacion': (15.44528793906521, 85.1419209900144), 'AnchoDeBanda': 302}"
132,"{'ID': 132, 'Marca': 'Juniper Networks', 'Modelo': 'ZAY83J', 'Puertos': 26, 'Ubicacion': (84.88935188580692, 21.601663674477756), 'AnchoDeBanda': 23}"
133,"{'ID': 133, 'Marca': 'Aruba Networks', 'Modelo': 'gEfUYA', 'Puertos': 39, 'Ubicacion': (2.224822373139801, 83.42762664528264), 'AnchoDeBanda': 927}"
134,"{'ID': 134, 'Marca': 'Check Point', 'Modelo': 'Rrzjog', 'Puertos': 12, 'Ubicacion': (43.24741265663516, 43.50598692069087), 'AnchoDeBanda': 636}"
135,"{'ID': 135, 'Marca': 'Avaya', 'Modelo': 'VMIBk0', 'Puertos': 24, 'Ubicacion': (34.38572808667899, 12.697089970070374), 'AnchoDeBanda': 884}"
136,"{'ID': 136, 'Marca': 'Huawei', 'Modelo': 'sTvthn', 'Puertos': 13, 'Ubicacion': (31.60145004044137, 58.925127774115374), 'AnchoDeBanda': 823}"
137,"{'ID': 137, 'Marca': 'Barracuda Networks', 'Modelo': 'reSuZA', 'Puertos': 49, 'Ubicacion': (93.93842628167633, 5.852328693722142), 'AnchoDeBanda': 948}"
138,"{'ID': 138, 'Marca': 'Cisco', 'Modelo': '7vSvFc', 'Puertos': 50, 'Ubicacion': (20.595659320950578, 55.64387599260391), 'AnchoDeBanda': 186}"
139,"{'ID': 139, 'Marca': 'TP-Link', 'Modelo': 'kkyziV', 'Puertos': 41, 'Ubicacion': (83.82602640573165, 66.81276644259742), 'AnchoDeBanda': 262}"
140,"{'ID': 140, 'Marca': 'Huawei', 'Modelo': 'IthQkU', 'Puertos': 37, 'Ubicacion': (73.4314533399598, 81.15765335475072), 'AnchoDeBanda': 883}"
141,"{'ID': 141, 'Marca': 'Ruckus Networks', 'Modelo': 'PCr0S6', 'Puertos': 50, 'Ubicacion': (37.465850523548625, 24.454406459350174), 'AnchoDeBanda': 268}"
142,"{'ID': 142, 'Marca': 'Ruckus Networks', 'Modelo': 'xD4g8r', 'Puertos': 15, 'Ubicacion': (94.26849808418719, 18.783983583087092), 'AnchoDeBanda': 842}"
143,"{'ID': 143, 'Marca': 'Zyxel', 'Modelo': 'BXNAvL', 'Puertos': 21, 'Ubicacion': (11.337193768053277, 92.93823845389093), 'AnchoDeBanda': 315}"
144,"{'ID': 144, 'Marca': 'Ruckus Networks', 'Modelo': 'D7FadS', 'Puertos': 16, 'Ubicacion': (27.512421879169903, 65.83632469407472), 'AnchoDeBanda': 250}"
145,"{'ID': 145, 'Marca': 'Riverbed Technology', 'Modelo': 'HVWg7g', 'Puertos': 10, 'Ubicacion': (11.175308063230016, 51.303682733863354), 'AnchoDeBanda': 172}"
